"Popolazione residente per età, sesso e stato civile al 1° gennaio 2021"
"Codice regione";"Regione";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"13";"Abruzzo";0;4252;0;0;0;0;0;0;4252;3997;0;0;0;0;0;0;3997;8249
"13";"Abruzzo";1;4364;0;0;0;0;0;0;4364;4213;0;0;0;0;0;0;4213;8577
"13";"Abruzzo";2;4563;0;0;0;0;0;0;4563;4376;0;0;0;0;0;0;4376;8939
"13";"Abruzzo";3;4966;0;0;0;0;0;0;4966;4652;0;0;0;0;0;0;4652;9618
"13";"Abruzzo";4;5211;0;0;0;0;0;0;5211;4910;0;0;0;0;0;0;4910;10121
"13";"Abruzzo";5;5313;0;0;0;0;0;0;5313;4986;0;0;0;0;0;0;4986;10299
"13";"Abruzzo";6;5329;0;0;0;0;0;0;5329;5025;0;0;0;0;0;0;5025;10354
"13";"Abruzzo";7;5395;0;0;0;0;0;0;5395;5088;0;0;0;0;0;0;5088;10483
"13";"Abruzzo";8;5648;0;0;0;0;0;0;5648;5387;0;0;0;0;0;0;5387;11035
"13";"Abruzzo";9;5845;0;0;0;0;0;0;5845;5344;0;0;0;0;0;0;5344;11189
"13";"Abruzzo";10;5892;0;0;0;0;0;0;5892;5596;0;0;0;0;0;0;5596;11488
"13";"Abruzzo";11;5861;0;0;0;0;0;0;5861;5480;0;0;0;0;0;0;5480;11341
"13";"Abruzzo";12;6017;0;0;0;0;0;0;6017;5709;0;0;0;0;0;0;5709;11726
"13";"Abruzzo";13;5883;0;0;0;0;0;0;5883;5660;0;0;0;0;0;0;5660;11543
"13";"Abruzzo";14;5893;0;0;0;0;0;0;5893;5519;0;0;0;0;0;0;5519;11412
"13";"Abruzzo";15;5905;0;0;0;0;0;0;5905;5664;0;0;0;0;0;0;5664;11569
"13";"Abruzzo";16;6090;0;0;0;0;0;0;6090;5563;0;0;0;0;0;0;5563;11653
"13";"Abruzzo";17;6007;0;0;0;0;0;0;6007;5572;0;0;0;0;0;0;5572;11579
"13";"Abruzzo";18;5998;0;0;0;0;0;0;5998;5462;2;1;0;0;0;0;5465;11463
"13";"Abruzzo";19;6079;2;0;0;0;0;0;6081;5705;18;0;0;0;0;0;5723;11804
"13";"Abruzzo";20;6430;3;0;0;0;0;0;6433;5617;53;0;0;0;0;0;5670;12103
"13";"Abruzzo";21;6284;12;0;5;0;0;0;6301;5632;95;1;0;0;0;0;5728;12029
