anno,genere,codice,regione,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2002,Totale,11,Marche,12011,12360,12420,12302,12164,12049,12304,12010,12508,12961,13083,13335,12844,12886,12425,13193,13569,13504,14085,14600,14937,15603,16527,17394,18131,18925,20349,20906,21017,21472,22224,21928,22588,22100,22172,22684,22842,23608,22534,21586,21756,21033,20621,19993,19533,19994,19387,18750,18597,18722,19068,19610,19036,19420,18961,19295,16146,15726,16763,16034,16278,18755,19313,19482,17915,17071,17776,17245,17021,15832,17019,17327,15549,15718,15695,14839,15179,13795,13545,12886,12260,11779,7196,4870,4624,5619,6355,5777,4812,4395,3413,3000,1974,1537,938,692,500,330,204,158,155
2002,Totale,12,Lazio,45190,45949,45580,45107,45030,45685,46080,46292,47640,49786,49521,50084,48996,49214,47527,48263,50264,51167,52691,54897,55635,56609,58831,62307,64809,68431,74065,77914,79243,80855,82631,82880,84973,83324,84523,87894,88695,90118,85425,82278,81006,77646,75416,72729,71825,71363,71158,70040,66839,66454,66455,69020,68770,73126,72762,71175,57092,57325,60893,59764,60986,67651,65766,63739,59666,57153,58590,56545,54744,52268,53041,54381,48473,46149,45217,43012,40827,38697,37491,34875,32578,30910,17980,13117,12766,14171,15425,13344,11816,9928,7714,6390,4573,3466,2252,1686,1176,738,505,327,389
2002,Totale,13,Abruzzo,10681,10706,10807,10761,10806,11090,11094,11587,12094,12462,12676,12855,12714,12810,12401,13086,13708,13750,14029,14676,14663,14766,15435,16108,16340,17206,17808,18304,18278,18718,19211,18783,19474,19165,19471,20049,20220,20346,19296,18584,18475,18200,17931,17284,17143,17014,16996,16824,15875,15989,16188,16834,16918,17226,16541,16237,12388,13377,13196,12941,13161,15318,15511,14514,14653,14171,14740,14083,14642,13352,14029,14996,13085,12976,12933,12248,11960,11288,10591,10357,9879,9388,5693,3883,3738,4546,5016,4059,3827,3297,2358,2173,1507,1144,772,598,432,263,137,109,165
2002,Totale,14,Molise,2543,2633,2810,2758,2777,2803,2930,3004,3160,3333,3347,3351,3352,3476,3427,3474,3612,3680,3803,3831,3978,3908,4060,4105,4155,4339,4591,4737,4482,4611,4642,4514,4679,4668,4749,4863,4852,4956,4668,4627,4625,4701,4476,4277,4297,4288,4290,4369,4001,4193,3857,4227,4410,4345,4049,3864,3064,3038,2919,2820,3181,3747,3940,3463,3596,3732,3811,3804,3835,3582,3733,3924,3420,3307,3375,3294,3107,2817,2720,2734,2594,2455,1382,933,948,1199,1405,1099,1045,885,688,656,404,309,199,149,134,75,43,28,40
2002,Totale,15,Campania,64963,65026,66182,64924,64721,66738,67579,68653,71326,75591,76337,76485,75904,76305,73557,75626,77630,79195,80470,83958,82903,83312,83224,83956,84537,87221,89593,91769,89961,89990,90611,88262,89839,88763,89530,91118,91198,93203,88340,86382,85011,81328,80121,76352,74938,72813,74572,73972,68350,67628,68214,69841,69664,71822,69148,71059,59738,51066,55927,54585,52898,58284,58111,54044,51898,50289,51799,49474,50647,49420,48778,50022,44500,43311,40980,38434,37305,34008,31769,29351,27189,24418,15230,11376,11021,11447,12516,10538,9516,7994,5914,4988,3471,2586,1672,1219,903,579,383,309,340
2002,Totale,16,Puglia,40549,41260,41713,41278,41271,42218,42521,43519,45191,47811,48199,48534,48255,49288,48254,49235,49894,51784,53051,55082,56344,57448,59078,60561,61744,63161,64517,65107,62551,61230,62183,60997,61792,61614,61875,63358,63471,63897,59830,58565,58398,56802,55360,52468,53205,52415,52146,51072,49502,48331,50097,51920,51669,54856,51883,51667,44671,40295,41017,42086,40426,44608,44098,42184,40387,38799,39260,38866,37820,36746,37391,38245,34102,32834,32293,30150,28262,26019,25782,24425,21561,21584,12453,9434,8872,9630,10798,9371,8537,7019,5447,4565,3156,2461,1599,1175,817,553,343,217,315
2002,Totale,17,Basilicata,5387,5614,5640,5531,5596,5721,5838,5988,6231,6790,6764,7107,7016,7018,7015,7095,7439,7659,7721,7855,7869,7913,7981,8272,8387,8891,8990,9048,8982,9040,8971,9113,9214,9027,9146,9107,9205,9502,8964,9128,8920,8736,8347,8043,7858,8214,7920,7909,7386,7269,7206,7540,7690,7893,7142,6640,5287,5135,5254,5402,5459,6581,6839,6591,6762,6567,6644,6822,6893,6336,6164,6645,5895,5740,5707,5400,4892,4519,4614,4166,3847,3740,2150,1449,1464,1615,1880,1594,1474,1269,1053,829,625,455,309,191,125,92,58,42,40
2002,Totale,18,Calabria,18834,19408,19594,19645,19610,20329,21027,21450,22904,23884,24442,25120,25865,26068,25590,26359,26759,27404,27521,28636,28557,28952,29213,29000,29548,30308,30711,30523,30261,30174,30311,29694,30659,29469,29683,30227,30152,31168,29703,29634,29377,29222,28556,26355,26896,26589,26692,26455,25044,24051,24933,25473,25348,25643,24998,23255,18677,18699,18822,19010,18637,21537,21356,20542,19822,20015,20882,20361,20795,20374,19755,19876,18413,16918,16666,15963,15527,14998,13735,12660,11679,11122,6867,5065,5062,5575,6082,5132,4787,3951,2819,2551,1905,1376,927,621,506,329,192,129,185
2002,Totale,19,Sicilia,49744,49970,51873,50658,51344,52820,54283,55845,58386,62063,62364,63056,62603,62730,60668,62526,63278,64622,64303,67421,67426,68697,68469,69122,69341,72279,74092,75749,74309,74224,75656,74239,76586,74394,74499,75373,75099,76812,72974,73626,71859,71818,68260,65901,65473,65078,65365,65043,60168,60838,60411,62720,62584,64869,64015,59459,51538,49646,48037,48830,49082,56147,54487,52764,47936,48765,50424,50631,50211,47235,47646,50727,44474,43557,40422,40971,37996,37930,33613,32957,28258,26685,16927,12644,12027,13875,14545,12407,11375,9307,7186,5606,4019,2915,2026,1363,987,635,421,291,397
2002,Totale,20,Sardegna,13081,13493,13530,13043,13177,13699,14211,14377,14993,15676,16802,17241,17076,17389,17218,18128,19018,19260,20063,21261,21902,22065,22057,23615,24107,25118,26214,26979,26971,26610,26726,25653,26658,25739,26234,27086,27071,27404,26516,25877,25916,24960,24345,23921,23735,23554,23085,23556,22400,22408,22296,22352,21527,22214,21064,20025,19197,18801,18510,19080,18300,20151,18997,17330,16119,16493,15377,16089,16029,15111,14621,15115,13748,13703,12253,12309,10935,11183,10253,9574,8220,7950,6056,4144,4161,4397,4681,3859,3558,3011,2466,2079,1496,1208,863,634,428,292,184,151,192
