"Popolazione residente per età, sesso e stato civile al 1° gennaio 2019"
"Codice regione";"Regione";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"20";"Sardegna";18;7588;0;0;0;0;0;0;7588;6843;5;0;0;0;0;0;6848;14436
"20";"Sardegna";19;7833;1;1;0;0;0;0;7835;6683;8;0;0;0;0;0;6691;14526
"20";"Sardegna";20;7656;3;0;0;0;0;0;7659;6531;23;0;0;0;0;0;6554;14213
"20";"Sardegna";21;7660;9;0;1;0;0;0;7670;6627;49;1;0;1;0;0;6678;14348
"20";"Sardegna";22;7815;21;0;0;1;0;0;7837;6674;85;0;0;0;0;0;6759;14596
"20";"Sardegna";23;7968;44;1;0;2;0;0;8015;6803;151;0;1;0;0;0;6955;14970
"20";"Sardegna";24;7948;78;1;0;1;0;0;8028;6942;239;1;0;0;0;0;7182;15210
"20";"Sardegna";25;8006;106;0;0;0;0;0;8112;7166;392;4;0;1;0;0;7563;15675
"20";"Sardegna";26;8280;178;4;0;0;0;0;8462;7260;582;8;0;0;0;0;7850;16312
"20";"Sardegna";27;8388;345;7;1;1;0;0;8742;7066;850;20;3;1;0;0;7940;16682
"20";"Sardegna";28;8459;477;6;1;2;0;0;8945;7175;1199;20;2;3;0;0;8399;17344
"20";"Sardegna";29;8268;677;13;0;2;0;0;8960;6689;1523;29;2;1;0;0;8244;17204
"20";"Sardegna";30;8061;909;12;2;2;0;0;8986;6437;1961;36;8;3;0;0;8445;17431
"20";"Sardegna";31;7793;1207;17;1;1;0;0;9019;6094;2398;52;4;2;0;0;8550;17569
"20";"Sardegna";32;7350;1582;27;3;3;0;0;8965;5876;2654;78;4;2;0;0;8614;17579
"20";"Sardegna";33;7380;1959;35;0;1;0;0;9375;5576;3223;91;16;8;0;0;8914;18289
"20";"Sardegna";34;7216;2334;53;3;5;0;0;9611;5272;3545;151;18;4;1;0;8991;18602
"20";"Sardegna";35;6980;2615;59;2;4;0;0;9660;5181;4078;151;17;6;1;0;9434;19094
"20";"Sardegna";36;6962;3264;80;5;2;0;0;10313;4911;4636;223;33;3;0;0;9806;20119
"20";"Sardegna";37;6486;3538;108;6;5;0;0;10143;4727;5026;222;30;5;0;0;10010;20153
"20";"Sardegna";38;6447;4168;135;10;5;0;0;10765;4530;5317;261;35;4;0;0;10147;20912
"20";"Sardegna";39;6088;4401;163;9;3;0;0;10664;4343;5774;316;41;1;0;0;10475;21139
"20";"Sardegna";40;6371;5247;199;11;2;0;0;11830;4364;6517;363;61;4;0;0;11309;23139
"20";"Sardegna";41;6161;5620;257;17;3;0;0;12058;4118;6871;422;69;3;0;0;11483;23541
"20";"Sardegna";42;6115;5986;286;13;2;0;0;12402;4155;7385;479;107;3;0;0;12129;24531
"20";"Sardegna";43;6095;6542;348;21;7;0;0;13013;4103;8023;546;109;2;0;0;12783;25796
"20";"Sardegna";44;6085;7270;401;35;7;0;0;13798;4052;8359;565;143;6;0;0;13125;26923
"20";"Sardegna";45;5664;7565;448;40;4;0;0;13721;3760;8640;656;160;2;0;0;13218;26939
"20";"Sardegna";46;5290;7657;477;38;10;0;0;13472;3481;8811;699;183;2;0;0;13176;26648
"20";"Sardegna";47;4781;7826;498;42;5;0;0;13152;3347;9181;732;215;0;0;0;13475;26627
"20";"Sardegna";48;4524;8093;569;47;5;0;0;13238;3053;8954;743;244;4;0;0;12998;26236
"20";"Sardegna";49;4464;8375;629;74;3;0;0;13545;2978;9596;746;280;0;1;0;13601;27146
"20";"Sardegna";50;3949;8393;618;62;3;0;0;13025;2770;9478;836;311;0;0;0;13395;26420
"20";"Sardegna";51;3870;8936;674;86;4;0;0;13570;2685;9804;802;377;3;0;0;13671;27241
"20";"Sardegna";52;3565;9230;689;87;7;0;0;13578;2627;10002;845;416;0;0;0;13890;27468
"20";"Sardegna";53;3249;9545;704;119;4;0;0;13621;2501;9926;843;502;1;0;0;13773;27394
"20";"Sardegna";54;3165;9825;759;112;5;0;0;13866;2343;10376;837;563;1;0;1;14121;27987
"20";"Sardegna";55;2742;9452;723;118;1;1;0;13037;2249;10021;792;661;2;0;0;13725;26762
"20";"Sardegna";56;2527;9335;699;151;2;0;0;12714;2028;9807;770;694;1;0;0;13300;26014
"20";"Sardegna";57;2372;9231;631;158;5;0;0;12397;1900;9755;706;777;2;0;0;13140;25537
"20";"Sardegna";58;2170;9204;633;205;3;0;0;12215;1781;9295;647;818;1;0;0;12542;24757
"20";"Sardegna";59;2017;9026;583;207;6;0;0;11839;1624;9148;683;890;1;0;0;12346;24185
"20";"Sardegna";60;1886;8946;536;228;1;0;0;11597;1543;8978;657;998;0;0;0;12176;23773
"20";"Sardegna";61;1758;8961;532;225;4;0;0;11480;1517;9024;573;1152;1;0;0;12267;23747
"20";"Sardegna";62;1655;8843;504;251;6;0;0;11259;1405;8805;545;1212;2;0;0;11969;23228
"20";"Sardegna";63;1503;8677;464;274;4;0;0;10922;1386;8463;446;1292;1;0;0;11588;22510
"20";"Sardegna";64;1480;8812;473;316;4;0;0;11085;1374;8374;478;1445;0;0;0;11671;22756
"20";"Sardegna";65;1318;8494;441;298;1;0;0;10552;1321;7849;467;1446;0;0;0;11083;21635
"20";"Sardegna";66;1273;8327;365;332;0;0;0;10297;1249;7812;398;1533;0;0;0;10992;21289
"20";"Sardegna";67;1149;8177;365;326;2;0;0;10019;1145;7526;369;1816;1;0;0;10857;20876
