"Popolazione residente per età, sesso e stato civile al 1° gennaio 2023"
"Codice regione";"Regione";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"13";"Abruzzo";0;4173;0;0;0;0;0;0;4173;3844;0;0;0;0;0;0;3844;8017
"13";"Abruzzo";1;4217;0;0;0;0;0;0;4217;4096;0;0;0;0;0;0;4096;8313
"13";"Abruzzo";2;4367;0;0;0;0;0;0;4367;4106;0;0;0;0;0;0;4106;8473
"13";"Abruzzo";3;4446;0;0;0;0;0;0;4446;4232;0;0;0;0;0;0;4232;8678
"13";"Abruzzo";4;4615;0;0;0;0;0;0;4615;4422;0;0;0;0;0;0;4422;9037
"13";"Abruzzo";5;5006;0;0;0;0;0;0;5006;4669;0;0;0;0;0;0;4669;9675
"13";"Abruzzo";6;5229;0;0;0;0;0;0;5229;4905;0;0;0;0;0;0;4905;10134
"13";"Abruzzo";7;5330;0;0;0;0;0;0;5330;4997;0;0;0;0;0;0;4997;10327
"13";"Abruzzo";8;5370;0;0;0;0;0;0;5370;5098;0;0;0;0;0;0;5098;10468
"13";"Abruzzo";9;5452;0;0;0;0;0;0;5452;5157;0;0;0;0;0;0;5157;10609
"13";"Abruzzo";10;5709;0;0;0;0;0;0;5709;5485;0;0;0;0;0;0;5485;11194
"13";"Abruzzo";11;5915;0;0;0;0;0;0;5915;5410;0;0;0;0;0;0;5410;11325
"13";"Abruzzo";12;5963;0;0;0;0;0;0;5963;5652;0;0;0;0;0;0;5652;11615
"13";"Abruzzo";13;5927;0;0;0;0;0;0;5927;5523;0;0;0;0;0;0;5523;11450
"13";"Abruzzo";14;6106;0;0;0;0;0;0;6106;5758;0;0;0;0;0;0;5758;11864
"13";"Abruzzo";15;5969;0;0;0;0;0;0;5969;5702;0;0;0;0;0;0;5702;11671
"13";"Abruzzo";16;5965;1;0;0;0;0;0;5966;5571;0;0;0;0;0;0;5571;11537
"13";"Abruzzo";17;5992;0;0;0;0;0;0;5992;5738;1;0;0;0;0;0;5739;11731
"13";"Abruzzo";18;6245;1;0;0;0;0;0;6246;5640;4;0;0;0;0;0;5644;11890
"13";"Abruzzo";19;6120;2;0;0;0;0;0;6122;5603;17;0;0;0;0;0;5620;11742
"13";"Abruzzo";20;6082;6;0;0;0;0;0;6088;5462;28;1;0;0;0;0;5491;11579
"13";"Abruzzo";21;6198;11;0;0;0;0;0;6209;5685;68;2;0;0;0;0;5755;11964
"13";"Abruzzo";22;6461;18;2;0;0;0;0;6481;5602;125;1;0;0;0;0;5728;12209
"13";"Abruzzo";23;6318;49;2;1;0;0;0;6370;5581;171;3;0;0;0;0;5755;12125
"13";"Abruzzo";24;6428;73;4;0;1;0;0;6506;5678;259;1;0;1;1;0;5940;12446
"13";"Abruzzo";25;6352;117;2;5;0;0;0;6476;5447;371;1;0;1;0;0;5820;12296
"13";"Abruzzo";26;6284;177;0;0;0;0;0;6461;5487;471;8;2;2;1;0;5971;12432
"13";"Abruzzo";27;6190;258;5;2;1;0;0;6456;5182;648;12;0;4;0;0;5846;12302
"13";"Abruzzo";28;6166;372;4;5;4;0;0;6551;5181;947;20;1;0;1;0;6150;12701
"13";"Abruzzo";29;6188;528;3;5;1;0;0;6725;5039;1164;24;4;3;1;0;6235;12960
"13";"Abruzzo";30;6140;786;9;3;0;1;0;6939;4879;1579;21;2;0;0;0;6481;13420
"13";"Abruzzo";31;5881;998;15;8;3;1;0;6906;4550;1927;39;2;1;1;0;6520;13426
"13";"Abruzzo";32;5731;1300;16;7;4;0;0;7058;4352;2280;59;9;4;1;0;6705;13763
"13";"Abruzzo";33;5441;1632;35;3;6;0;0;7117;3952;2603;77;6;5;2;0;6645;13762
"13";"Abruzzo";34;5154;1971;52;8;5;0;0;7190;3816;2998;89;7;6;0;0;6916;14106
"13";"Abruzzo";35;4683;2242;46;13;4;0;0;6988;3447;3284;117;11;4;0;0;6863;13851
"13";"Abruzzo";36;4558;2619;69;8;6;0;0;7260;3303;3646;149;21;8;1;0;7128;14388
"13";"Abruzzo";37;4416;2980;84;11;3;0;0;7494;3248;3877;197;25;14;1;0;7362;14856
"13";"Abruzzo";38;4197;3338;113;12;8;0;0;7668;2939;4218;235;27;6;1;0;7426;15094
"13";"Abruzzo";39;4010;3526;127;11;5;0;0;7679;2732;4444;238;25;5;0;0;7444;15123
"13";"Abruzzo";40;3854;3859;176;7;5;1;0;7902;2751;4886;277;41;7;0;0;7962;15864
"13";"Abruzzo";41;3691;4024;178;23;10;0;0;7926;2465;4990;303;67;3;0;0;7828;15754
"13";"Abruzzo";42;3606;4417;202;14;5;0;1;8245;2422;5098;393;82;5;0;0;8000;16245
"13";"Abruzzo";43;3481;4759;243;27;7;0;0;8517;2286;5590;423;94;7;0;0;8400;16917
