"","genere","anno_raggr","tasso_standard"
"1","FEMMINE","2015-19",1197.00149931183
"2","FEMMINE","2020",1287.84595987807
"3","FEMMINE","2021",1217.86776672337
"4","FEMMINE","2022",1234.86325499603
"5","FEMMINE","2023",1134.53652362411
"6","MASCHI","2015-19",1202.16254946908
"7","MASCHI","2020",1313.97697030786
"8","MASCHI","2021",1235.6549261449
"9","MASCHI","2022",1201.43776163631
"10","MASCHI","2023",1100.86014036105
